depcom,cp,ncc,nccenr,longitude,latitude
01001,1400,L'ABERGEMENT-CLEMENCIAT,L'Abergement-Clémenciat,4.920347188188509,46.15059760821454
01002,1640,L'ABERGEMENT-DE-VAREY,L'Abergement-de-Varey,5.423378604768479,46.006742038624644
01004,1500,AMBERIEU-EN-BUGEY,Ambérieu-en-Bugey,5.356634611701361,45.95770014026058
01005,1330,AMBERIEUX-EN-DOMBES,Ambérieux-en-Dombes,4.902089164918078,45.99777708138175
01006,1300,AMBLEON,Ambléon,5.601235965637631,45.74872088186469
01007,1500,AMBRONAY,Ambronay,5.359969994267318,46.00537807749034
01008,1500,AMBUTRIX,Ambutrix,5.337764324121709,45.939172830003606
01009,1300,ANDERT-ET-CONDON,Andert-et-Condon,5.654904643306143,45.79432176893695
01010,1350,ANGLEFORT,Anglefort,5.807696003514429,45.911365391979245
01011,1100,APREMONT,Apremont,5.65542941137389,46.20696730152177
01012,1110,ARANC,Aranc,5.50858405811387,46.00398622188143
01013,1230,ARANDAS,Arandas,5.485540648732331,45.89457965551007
01014,1100,ARBENT,Arbent,5.680483129434149,46.29467721525575
01015,1300,ARBOYS EN BUGEY,Arboys en Bugey,5.65042122676068,45.72775346435601
01016,1190,ARBIGNY,Arbigny,4.96156296311222,46.46965984315554
01017,1230,ARGIS,Argis,5.489866966033229,45.933224911588404
01019,1510,ARMIX,Armix,5.58534095966657,45.849094482679206
01021,1480,ARS-SUR-FORMANS,Ars-sur-Formans,4.821764603873339,45.99189149000844
01022,1510,ARTEMARE,Artemare,5.69226043518164,45.87362699500119
01023,1570,ASNIERES-SUR-SAONE,Asnières-sur-Saône,4.88298286622482,46.383612370017005
01024,1340,ATTIGNAT,Attignat,5.159003719943049,46.28683966540335
01025,1380,BAGE-DOMMARTIN,Bâgé-Dommartin,4.944318569292889,46.3150277541786
01026,1380,BAGE-LE-CHATEL,Bâgé-le-Châtel,4.9284430317642,46.307190873620826
01027,1360,BALAN,Balan,5.097470524348999,45.83398340097843
01028,1990,BANEINS,Baneins,4.900778754225869,46.109492299337916
01029,1270,BEAUPONT,Beaupont,5.26679228710235,46.41086261551346
01030,1480,BEAUREGARD,Beauregard,4.75098444735961,46.00111421915024
01031,1100,BELLIGNAT,Bellignat,5.632572950871349,46.244439142263225
01032,1360,BELIGNEUX,Béligneux,5.127783014289469,45.85143273236301
01033,1200,BELLEGARDE-SUR-VALSERINE,Bellegarde-sur-Valserine,5.825492105088592,46.10735500178331
01034,1300,BELLEY,Belley,5.68793283806986,45.758400396956596
01035,1130,BELLEYDOUX,Belleydoux,5.777095425478239,46.251815361220004
01036,1260,BELMONT-LUTHEZIEU,Belmont-Luthézieu,5.66035400740786,45.88068968315648
01037,1470,BENONCES,Bénonces,5.47477571356595,45.82724574904474
01038,1370,BENY,Bény,5.28251132409797,46.319564060263
01039,1350,BEON,Béon,5.754490980602681,45.854106340746696
01040,1340,BEREZIAT,Béréziat,5.04503654889924,46.36641000578812
01041,1500,BETTANT,Bettant,5.36246931655648,45.9431641653934
01042,1290,BEY,Bey,4.84489941983447,46.21940279049865
