depcom,ncc,nccenr,depcom_pole
01003,AMAREINS,Amareins,01165
01018,ARLOD,Arlod,01033
01020,ARNANS,Arnans,01125
01048,BOHAS,Bohas,01245
01055,BOUVENT,Bouvent,01283
01070,CESSEINS,Cesseins,01165
01086,CHARANCIN,Charancin,01414
01119,CORCELLES,Corcelles,01080
01120,CORDIEUX,Cordieux,01262
01126,COUPY,Coupy,01033
01131,CRAZ,Craz,01189
01132,CREPIEUX-LA-PAPE,Crépieux-la-Pape,69286
01137,CUISIAT,Cuisiat,01426
01144,DOMMARTIN,Dommartin,01025
01161,FITIGNIEU,Fitignieu,01414
01164,FORENS,Forens,01104
01168,GENAY,Genay,69278
01172,GERMAGNAT,Germagnat,01095
01176,LE GRAND-ABERGEMENT,Le Grand-Abergement,01187
01178,GRANGES,Granges,01240
01182,GROSLEE,Groslée,01338
01201,LACOUX,Lacoux,01185
01217,LILIGNOD,Lilignod,01079
01220,LOMPNES,Lompnes,01185
01222,LONGECOMBE,Longecombe,01185
01223,LOYES,Loyes,01450
01226,LUTHEZIEU,Luthézieu,01036
01251,MOENS,Moëns,01313
01253,MOLLON,Mollon,01450
01256,MONTANAY,Montanay,69284
01270,NAPT,Napt,01410
01271,NATTAGES,Nattages,01286
01278,OCHIAZ,Ochiaz,01091
01287,PASSIN,Passin,01079
01292,LE PETIT-ABERGEMENT,Le Petit-Abergement,01187
01300,LE POIZAT,Le Poizat,01204
01312,PRESSIAT,Pressiat,01426
01315,PROULIEU,Proulieu,01202
01316,PUGIEU,Pugieu,01098
01324,RIGNAT,Rignat,01245
01326,RILLIEUX,Rillieux,69286
01327,ROMANECHE,Romanèche,01184
01340,SAINT-BOIS,Saint-Bois,01015
01377,SAINT-MAURICE-D'ECHAZEAUX,Saint-Maurice-d'Échazeaux,01125
01394,SATHONAY-CAMP,Sathonay-Camp,69292
01395,SATHONAY-VILLAGE,Sathonay-Village,69293
01409,SONGIEU,Songieu,01187
01438,VESENEX-CRASSY,Vésenex-Crassy,01143
01440,VEYZIAT,Veyziat,01283
01455,VOLOGNAT,Volognat,01267
01458,VOUVRAY,Vouvray,01091
02026,ARTONGES,Artonges,02458
02045,BARBONVAL,Barbonval,02439
02092,BLERANCOURDELLE,Blérancourdelle,02093
02113,BRANGES,Branges,02022
02147,LA CELLE-SOUS-MONTMIRAIL,La Celle-sous-Montmirail,02458
02161,LA CHAPELLE-MONTHODON,La Chapelle-Monthodon,02053
02202,COHAN,Cohan,02220
02247,CUGNY-LES-CROUTTES,Cugny-lès-Crouttes,02580
02285,ESCAUFOURT,Escaufourt,59545
02300,FARGNIERS,Fargniers,02738
02314,FLAVIGNY-LE-PETIT,Flavigny-le-Petit,02361
02325,FONTENELLE-EN-BRIE,Fontenelle-en-Brie,02458
02344,GERNICOURT,Gernicourt,51171
02348,GLENNES,Glennes,02439
02365,HAMEGICOURT,Hamégicourt,02124
02394,JOUY,Jouy,02008
02436,LOMBRAY,Lombray,02140
02437,LONGCHAMPS,Longchamps,02757
02479,MERVAL,Merval,02439
02597,PERLES,Perles,02439
02603,PISSELEUX,Pisseleux,02810
02611,PONT-A-BUCY,Pont-à-Bucy,02559
02630,QUESSY,Quessy,02738
02646,REVILLON,Révillon,02439
02669,SAINT-AGNAN,Saint-Agnan,02053
02692,SAINT-QUENTIN-SUR-ALLAN,Saint-Quentin-sur-Allan,02307
02700,LE SART,Le Sart,02308
02771,VAUXCERE,Vauxcéré,02439
02811,VILLERS-EN-PRAYERES,Villers-en-Prayères,02439
02825,VOUEL,Vouël,02738
03123,GIVARLAIS,Givarlais,03158
03153,LOUROUX-HODEMENT,Louroux-Hodement,03158
03199,NEUVILLE,Neuville,03315
03318,VITRAY,Vitray,03168
04002,AINAC,Ainac,04167
04003,ALBIOSC,Albiosc,04081
04010,ARGENS,Argens,04136
04011,ASTOIN,Astoin,04023
04014,AUGES,Augès,04109
04015,AURIBEAU,Auribeau,04177
04029,BLEGIERS,Blégiers,04155
04038,CARNIOL,Carniol,04208
04044,CASTILLON,Castillon,04039
04048,CHASTEUIL,Chasteuil,04039
04052,CHATEAUNEUF-LES-MOUSTIERS,Châteauneuf-lès-Moustiers,04144
04056,CHENERILLES,Chénerilles,04108
04060,SAINT-MICHEL-PEYRESQ,Saint-Michel-Peyresq,04219
04064,COURCHONS,Courchons,04173
04071,LES DOURBES,Les Dourbes,04070
04078,EOULX,Eoulx,04039
04080,ESCLANGON,Esclangon,04097
04082,ESPARRON-LA-BATIE,Esparron-la-Bâtie,04023
04083,ESPINOUSE,Espinouse,04046
04089,FOURS,Fours,04226
04098,LAMBERT,Lambert,04167
04100,LARCHE,Larche,04120
04103,LEVENS,Levens,04107
04105,LINCEL,Lincel,04192
04114,MARIAUD,Mariaud,04155
04117,MELAN,Melan,04040
04119,MEOLANS,Méolans,04161
04125,MONTBLANC,Montblanc,04043
04131,MONTPEZAT,Montpezat,04124
04146,LA PERUSSE,La Pérusse,04217
04147,PEYRESQ,Peyresq,04219
04153,LE POIL,Le Poil,04204
04165,REYNIER,Reynier,04023
04168,ROBION,Robion,04039
04185,SAINT-JURSON,Saint-Jurson,04046
04196,SAINT-SYMPHORIEN,Saint-Symphorien,04075
04198,SAINT-VINCENT-LES-FORTS,Saint-Vincent-les-Forts,04033
04212,TALOIRE,Taloire,04039
04213,TANARON,Tanaron,04167
04215,TAULANNE,Taulanne,04039
04221,TREVANS,Trévans,04084
04223,UBAYE,Ubaye,04102
04225,URTIS,Urtis,04234
04232,VALSAINTES,Valsaintes,04208
04238,VILHOSC,Vilhosc,04075
04239,VILLARS-BRANDIS,Villars-Brandis,04039
04243,VILLEVIEILLE,Villevieille,04043
05002,AGNIERES-EN-DEVOLUY,Agnières-en-Dévoluy,05139
05005,ANTONAVES,Antonaves,05118
05015,BARRET-LE-HAUT,Barret-le-Haut,05014
05020,BENEVENT-ET-CHARBILLAC,Bénévent-et-Charbillac,05132
05030,CHABOTTONNES,Chabottonnes,05145
05034,CHATEAUNEUF-DE-CHABRE,Châteauneuf-de-Chabre,05118
05041,CLEMENCE-D'AMBEL,Clémence-d'Ambel,05064
05042,LA CLUSE,La Cluse,05139
05043,LES COSTES,Les Costes,05039
05067,LES INFOURNAS,Les Infournas,05132
05069,LAGRAND,Lagrand,05053
05083,MONTEGLIN,Montéglin,05070
05088,MONTMORIN,Montmorin,05024
05105,POMET,Pomet,05118
05125,ROMETTE,Romette,05061
05137,SAINT-CYRICE,Saint-Cyrice,05051
05138,SAINT-DISDIER,Saint-Disdier,05139
05141,SAINT-EUSEBE-EN-CHAMPSAUR,Saint-Eusèbe-en-Champsaur,05039
05143,SAINT-GENIS,Saint-Genis,05053
05150,SAINTE-MARIE,Sainte-Marie,05024
05175,VALLOUISE,Vallouise,05101
07021,AURIOLLES,Auriolles,07207
07043,BRAHIC,Brahic,07334
07046,CASTELJAU,Casteljau,07031
07057,CHASSAGNES,Chassagnes,07334
07125,LAFIGERE,Lafigère,07147
07164,NAVES,Naves,07334
07180,LE POUZAT,Le Pouzat,07204
07246,SAINT-JEAN-DE-POURCHARESSE,Saint-Jean-de-Pourcharesse,07284
07271,SAINT-MARTIN-L'INFERIEUR,Saint-Martin-l'Inférieur,07270
07320,THINES,Thines,07147
08002,ADON,Adon,08113
08007,LES ALLEUX,Les Alleux,08116
08009,AMBLIMONT,Amblimont,08311
08012,ANDEVANNE,Andevanne,08437
08050,BARRICOURT,Barricourt,08437
08051,BAY,Bay,08069
08054,BEAULIEU,Beaulieu,08319
08068,BLAISE,Blaise,08490
08072,BOSSEVAL-ET-BRIANCOURT,Bosseval-et-Briancourt,08491
08091,LA CASSINE,La Cassine,08469
08093,LA CERLEAU,La Cerleau,08344
